Transaction_ID,Date,Store,Branch_ID,Sales_Channel,Product_ID,Product_Category,Product_Name,Brand,Unit_Cost,Unit_Price,Units_Sold,Revenue,Cost_of_Sales,Profit,Discount_Applied,Payment_Method,Transaction_Time,Customer_ID,Customer_Name,Gender,Age,Marital_Status,Occupation,Income_Level,Customer_Segment,Loyalty_Score,Stock_Available,Reorder_Level,Supplier,Restock_Frequency,Promotion_Type,Campaign_Name,Campaign_Spend,Customer_Response,Ad_Channel,Month,Year,Quarter,Weekday,Holiday_Period,Repeat_Purchase,Satisfaction_Score,Computed_Revenue,Region
T1014,2023-03-29,Lagos,LA008,Online,P6279,Fashion,Sneakers,Adidas,101503.27116930996,143878.0364837259,10,1438780.364837259,1015032.7116930996,423747.65314415947,1,POS,20:12:09,C7338,Tolu James,F,28.0,Single,Banker,High,Occasional,80.0,32,32,MegaMart Supply,14,Discount,MegaSaver,634572,Yes,Email,March,2023,Q1,Wednesday,False,False,3.5,4689.6,South-West
T1015,2024-01-08,Ibadan,IB003,Online,P4585,Electronics,Refrigerator,LG,1236390.269245811,1680445.0751975712,18,30248011.353556283,22255024.8464246,7992986.507131685,1,Online,10:47:55,C8586,Tolu Agina,M,25.0,Married,Doctor,Medium,Occasional,73.0,263,58,FashionBase Ltd,7,Loyalty Offer,CustomerLove,708136,Yes,SMS,January,2024,Q1,Monday,False,True,4.4,17986.95,South-West
T1016,2023-04-10,Abuja,AB003,In-store,P3267,Fashion,Sneakers,Puma,144118.64550327562,185780.02734159565,15,2786700.4101239345,2161779.6825491344,624920.7275748001,1,Cash,21:56:48,C3888,David Olu,M,22.0,Married,Civil Servant,Medium,Occasional,69.0,214,60,TechWorld Nigeria,14,Loyalty Offer,MegaSaver,639375,Yes,Email,April,2023,Q2,Monday,True,False,3.9,6000.12,North-Central
T1017,2024-10-25,Lagos,LA003,In-store,P8657,Sports,Tennis Racket,Nike,42158.685022554266,52752.54779425148,18,949545.8602965266,758856.3304059767,190689.52989054983,1,Transfer,20:56:24,C8851,Victor Eze,M,23.0,Married,Doctor,Medium,VIP,43.0,162,78,FoodPro Distributors,14,Discount,MegaSaver,220324,Yes,SMS,October,2024,Q4,Friday,True,True,4.6,4444.35,South-West
T1018,2023-05-11,Ibadan,IB001,In-store,P4266,Electronics,Refrigerator,Samsung,1006384.9108778782,1333952.4443859693,24,32014858.665263265,24153237.861069076,7861620.80419419,0,POS,12:06:37,C2596,Aisha Olu,F,60.0,Single,Trader,Medium,Occasional,56.0,33,49,GameHub Africa,30,None,MegaSaver,949747,Yes,Social Media,May,2023,Q2,Thursday,True,True,4.4,15052.0,South-West
T1019,2024-10-23,Port Harcourt,PO009,In-store,P6688,Toys,Doll,Lego,85813.56286672344,105252.52380462283,5,526262.6190231142,429067.8143336172,97194.80468949699,1,POS,19:33:41,C7118,Chioma Okafor,F,18.0,Married,Designer,Low,Regular,63.0,158,69,GameHub Africa,14,None,MegaSaver,966536,No,SMS,October,2024,Q4,Wednesday,True,True,3.6,4332.65,South-South
T1020,2023-11-05,Enugu,EN001,Online,P6511,Groceries,Flour,Nestle,29596.170576201792,36744.73928818344,17,624660.5678991184,503134.8997954305,121525.66810368793,0,POS,9:15:46,C8198,Chioma Olu,F,31.0,Married,Banker,Medium,Regular,96.0,228,61,GameHub Africa,7,None,WeekendRush,946420,No,Email,November,2023,Q4,Sunday,True,True,3.6,14981.4,South-East
T1021,2023-12-10,Enugu,EN009,Online,P8753,Groceries,Rice,Dangote,46721.76918269902,56806.03168433972,4,227224.1267373589,186887.07673079608,40337.050006562815,1,POS,11:47:30,C8798,Chioma Eze,F,40.0,Married,Banker,Medium,Regular,54.0,161,76,GameHub Africa,30,Loyalty Offer,FestiveBonanza,403547,No,Billboard,December,2023,Q4,Sunday,False,True,3.6,563.6,South-East
T1022,2024-05-06,Ibadan,IB009,In-store,P1893,Toys,Doll,Hasbro,60076.50325618939,73644.6417860995,19,1399248.1939358904,1141453.5618675984,257794.632068292,0,Cash,14:31:04,C4886,Sarah Aliyu,M,18.0,Married,Designer,Medium,Regular,61.0,47,39,MegaMart Supply,30,Loyalty Offer,FestiveBonanza,460247,Yes,Radio,May,2024,Q2,Monday,False,True,4.6,2977.12,South-West
T1023,2024-02-18,Enugu,EN010,Online,P6003,Sports,Tennis Racket,Adidas,96321.40785985133,115971.45002917011,6,695828.7001750206,577928.447159108,117900.2530159126,0,Online,15:44:38,C1086,Grace Okafor,M,58.0,Single,Banker,High,VIP,50.0,260,48,TechWorld Nigeria,7,Loyalty Offer,WeekendRush,496451,No,Social Media,February,2024,Q1,Sunday,True,False,4.6,1846.92,South-East
T1024,2024-01-21,Ibadan,IB009,Online,P2880,Toys,Doll,Hasbro,80355.92285657379,95445.61721924864,18,1718021.1099464756,1446406.6114183282,271614.49852814735,0,Online,19:19:44,C3783,Sarah Ibrahim,M,22.0,Single,Doctor,Medium,Occasional,70.26907073509015,226,47,GameHub Africa,30,None,MegaSaver,284349,Yes,Email,January,2024,Q1,Sunday,False,False,3.1,17350.050000000003,South-West
T1025,2023-07-11,Abuja,AB003,Online,P1659,Toys,Toy Car,Mattel,32606.49698933612,43115.13109697542,4,172460.52438790168,130425.98795734448,42034.5364305572,1,Transfer,14:44:31,C7808,Blessing Aliyu,F,29.0,Married,Designer,Low,Regular,62.0,167,72,FoodPro Distributors,30,Discount,MegaSaver,292337,No,SMS,July,2023,Q3,Tuesday,False,True,4.9,1793.76,North-Central
T1026,2023-10-04,Enugu,EN001,Online,P7770,Toys,Board Game,Hasbro,48404.72860216122,59636.2240467051,15,894543.3607005766,726070.9290324184,168472.43166815815,0,Cash,18:38:51,C3173,Blessing Adeniyi,F,58.0,Married,Teacher,Low,Regular,75.0,142,75,MegaMart Supply,14,Discount,CustomerLove,627809,Yes,Billboard,October,2023,Q4,Wednesday,True,False,4.9,2544.64,South-East
T1027,2023-06-10,Ibadan,IB008,Online,P7807,Groceries,Pasta,Dangote,21123.805683550567,23962.8274220192,17,407368.0661743264,359104.6966203596,48263.3695539668,1,Transfer,21:00:18,C7836,Aisha Aliyu,M,42.0,Single,Lawyer,High,VIP,95.0,172,67,GameHub Africa,30,None,SummerBlast,668238,No,SMS,June,2023,Q2,Saturday,False,False,3.9,1710.24,South-West
T1028,2024-04-04,Port Harcourt,PO007,Online,P4826,Groceries,Flour,Nestle,60593.235914546385,69538.6477812206,4,278154.5911248824,242372.94365818554,35781.64746669686,1,Cash,16:58:29,C815,Chioma Aliyu,F,42.0,Single,Designer,Low,VIP,72.0,27,76,MegaMart Supply,14,Flash Sale,FestiveBonanza,692296,No,SMS,April,2024,Q2,Thursday,False,True,4.7,4119.68,South-South
T1029,2023-11-10,Benin,BE001,Online,P9864,Toys,Puzzle,Lego,34847.0635300139,45775.83404681949,10,457758.34046819486,348470.63530013897,109287.7051680559,0,Cash,13:50:03,C1221,Aisha Ibrahim,M,23.0,Married,Engineer,High,Occasional,95.0,170,52,FashionBase Ltd,14,Flash Sale,SummerBlast,756968,No,Radio,November,2023,Q4,Friday,True,True,3.4,1197.0,South-South
T1030,2023-01-22,Kano,KA004,Online,P3344,Sports,Running Shoes,Adidas,76263.66246409772,91014.32214667788,10,910143.2214667788,762636.6246409772,147506.59682580153,1,Online,19:16:29,C7655,John Aliyu,F,60.0,Single,Designer,Low,Occasional,74.0,174,42,FoodPro Distributors,14,Discount,SummerBlast,599889,No,Radio,January,2023,Q1,Sunday,False,False,3.0,2421.96,North-West
T1031,2023-09-10,Benin,BE005,In-store,P9138,Sports,Basketball,Puma,76257.7296407852,100912.5356945947,4,403650.1427783788,305030.9185631408,98619.224215238,0,Transfer,20:28:02,C3870,Grace Adeniyi,M,58.0,Single,Banker,High,Occasional,89.0,206,76,MegaMart Supply,7,Loyalty Offer,NaijaDeals,983790,No,Billboard,September,2023,Q3,Sunday,True,True,4.6,3604.16,South-South
T1033,2024-04-19,Abuja,AB002,Online,P4626,Sports,Football,Nike,62219.983203417134,75079.43851076263,6,450476.63106457575,373319.8992205028,77156.73184407293,1,Online,13:42:47,C7706,John Eze,M,26.0,Single,Teacher,Medium,Regular,47.0,296,56,GameHub Africa,30,Flash Sale,MegaSaver,886735,Yes,Email,April,2024,Q2,Friday,False,False,3.1,824.5,North-Central
T1034,2023-02-28,Port Harcourt,PO002,In-store,P6942,Groceries,Noodles,Dangote,27090.636659157357,33128.666828309106,21,695702.0033944913,568903.3698423045,126798.63355218677,0,Cash,20:21:15,C6118,Blessing Adeniyi,M,43.0,Married,Trader,Low,Regular,45.0,84,80,GameHub Africa,7,Discount,CustomerLove,417220,Yes,Billboard,February,2023,Q1,Tuesday,False,True,4.6,16637.0,South-South
T1035,2024-05-25,Kano,KA005,In-store,P9850,Electronics,Laptop,Apple,509691.8676846672,679077.850834663,12,8148934.210015956,6116302.412216006,2032631.7977999505,0,Cash,15:28:49,C2958,Emeka Agina,M,18.0,Married,Trader,High,Regular,41.0,205,62,GameHub Africa,7,None,CustomerLove,432311,Yes,Radio,May,2024,Q2,Saturday,False,False,4.3,2481.08,North-West
T1036,2024-11-12,Lagos,LA008,Online,P2768,Electronics,Generator,LG,579716.1201833353,730951.3963626532,13,9502368.152714493,7536309.562383358,1966058.5903311344,1,Transfer,15:32:38,C7367,Emeka Okafor,F,56.0,Single,Engineer,Low,Regular,79.0,240,36,TechWorld Nigeria,30,Flash Sale,MegaSaver,673489,Yes,Email,November,2024,Q4,Tuesday,False,False,3.8,8386.4,South-West
T1037,2024-04-20,Ibadan,IB006,Online,P5176,Electronics,Smart TV,HP,366412.14791117137,457084.5795508302,2,914169.1591016604,732824.2958223427,181344.86327931762,1,Cash,14:22:55,C2600,Tolu Okafor,M,23.0,Single,Civil Servant,Low,Occasional,87.0,236,76,TechWorld Nigeria,14,Loyalty Offer,NaijaDeals,308633,Yes,Billboard,April,2024,Q2,Saturday,False,True,4.7,740.04,South-West
T1038,2024-11-30,Port Harcourt,PO007,Online,P4705,Toys,Doll,Disney,75482.13527027327,95403.49185822504,5,477017.4592911252,377410.67635136633,99606.78293975885,1,Cash,10:47:40,C9290,Grace Agina,F,19.0,Single,Banker,High,Regular,98.0,35,35,GameHub Africa,7,None,MegaSaver,675682,No,Billboard,November,2024,Q4,Saturday,False,False,4.4,1573.8999999999999,South-South
T1039,2023-07-09,Benin,BE003,In-store,P3549,Toys,Toy Car,Mattel,46256.73208495301,56005.21648926867,4,224020.86595707468,185026.92833981203,38993.93761726265,1,Online,9:18:43,C915,Emeka Ibrahim,F,60.0,Married,Designer,High,Regular,66.0,269,63,FashionBase Ltd,7,Flash Sale,MegaSaver,828437,Yes,Social Media,July,2023,Q3,Sunday,True,False,4.9,1518.2,South-South
T1040,2024-11-17,Benin,BE002,Online,P6375,Groceries,Flour,Nestle,17684.396044759073,20136.70002948395,13,261777.10038329134,229897.14858186795,31879.95180142339,0,Online,21:47:02,C226,Tolu Eze,M,26.0,Married,Lawyer,High,VIP,72.0,243,31,FoodPro Distributors,7,Loyalty Offer,CustomerLove,650137,No,Email,November,2024,Q4,Sunday,False,True,3.8,8574.36,South-South
T1041,2024-07-16,Port Harcourt,PO002,Online,P6928,Groceries,Flour,Dangote,44943.031798070515,52629.47576143093,12,631553.7091371712,539316.3815768461,92237.32756032504,1,Cash,16:40:07,C7255,Emeka James,F,38.79889042995839,Married,Lawyer,Low,Regular,95.0,291,62,MegaMart Supply,14,Loyalty Offer,WeekendRush,876796,Yes,Billboard,July,2024,Q3,Tuesday,True,True,3.5,3855.28,South-South
T1042,2024-07-20,Abuja,AB008,In-store,P9095,Toys,Action Figure,Mattel,48272.57444257488,63201.236090858336,10,632012.3609085834,482725.74442574877,149286.61648283462,0,Transfer,16:04:19,C9336,Grace Aliyu,F,58.0,Married,Doctor,Medium,VIP,70.0,256,58,TechWorld Nigeria,7,Loyalty Offer,NaijaDeals,280458,Yes,Radio,July,2024,Q3,Saturday,False,False,4.2,4308.93,North-Central
T1043,2023-09-01,Benin,BE010,In-store,P6267,Electronics,Generator,HP,390949.7728883032,499458.76967770717,16,7991340.314843315,6255196.366212851,1736143.9486304633,1,POS,13:23:58,C7892,Blessing Olu,M,46.0,Single,Student,Low,VIP,72.0,164,54,FoodPro Distributors,14,Discount,WeekendRush,878748,No,Social Media,September,2023,Q3,Friday,False,True,4.1,8860.95,South-South
T1044,2024-05-19,Enugu,EN002,In-store,P6461,Fashion,Sneakers,Adidas,58582.63886034983,74713.24055084104,10,747132.4055084104,585826.3886034982,161306.0169049122,1,Cash,18:42:27,C9647,Sarah Adeniyi,F,59.0,Married,Doctor,High,Occasional,100.0,280,53,TechWorld Nigeria,14,Loyalty Offer,SummerBlast,424597,No,Email,May,2024,Q2,Sunday,True,True,5.0,1412.0700000000002,South-East
T1045,2023-05-11,Abuja,AB010,In-store,P6517,Electronics,Laptop,Sony,955548.3535355827,1295769.7944530468,9,11661928.150077421,8599935.181820244,3061992.9682571776,1,Transfer,20:47:50,C2247,Grace Eze,M,28.0,Single,Doctor,High,Regular,42.0,249,44,GameHub Africa,7,Loyalty Offer,MegaSaver,403440,No,Radio,May,2023,Q2,Thursday,False,False,4.5,4285.68,North-Central
T1046,2024-04-29,Benin,BE004,Online,P3655,Sports,Running Shoes,Nike,73108.6691711518,96645.96127620286,18,1739627.3029716513,1315956.0450807326,423671.25789091876,1,Online,9:58:14,C2367,John Agina,F,41.0,Single,Lawyer,Low,Regular,45.0,250,52,TechWorld Nigeria,14,Discount,MegaSaver,726392,No,Billboard,April,2024,Q2,Monday,False,True,3.7,13501.91,South-South
T1047,2024-10-08,Lagos,LA001,In-store,P3254,Fashion,Jeans,Puma,40247.79582323079,57673.47268816544,24,1384163.3445159707,965947.0997575389,418216.2447584318,1,Cash,20:18:15,C4800,Tolu Olu,F,46.0,Single,Engineer,Low,Regular,53.0,174,37,TechWorld Nigeria,7,None,WeekendRush,853064,No,Social Media,October,2024,Q4,Tuesday,True,False,4.2,19925.4,South-West
T1048,2023-01-21,Lagos,LA007,In-store,P5772,Toys,Toy Car,Hasbro,102898.43691767691,131930.25384721236,20,2638605.076944247,2057968.7383535383,580636.3385907086,0,Online,21:30:02,C125,Grace Adeniyi,M,54.0,Married,Doctor,High,Occasional,45.0,218,53,FashionBase Ltd,30,Discount,NaijaDeals,270841,No,Billboard,January,2023,Q1,Saturday,True,False,3.3,9847.59,South-West
T1049,2023-06-16,Port Harcourt,PO003,Online,P8840,Toys,Doll,Disney,61619.6054727176,79796.7386413378,19,1516138.0341854182,1170772.5039816345,345365.53020378365,1,Transfer,8:48:41,C2309,Emeka Aliyu,M,36.0,Single,Teacher,Low,VIP,60.0,117,48,FashionBase Ltd,7,Loyalty Offer,NaijaDeals,330521,No,Email,June,2023,Q2,Friday,False,False,4.8,19668.600000000002,South-South
T1050,2023-10-01,Enugu,EN009,Online,P7018,Fashion,Suit,Adidas,44735.06960465155,62470.13633946121,10,624701.3633946121,447350.6960465155,177350.6673480966,1,Online,10:44:28,C4469,Emeka Eze,M,45.0,Single,Lawyer,Medium,Regular,46.0,199,58,TechWorld Nigeria,30,Loyalty Offer,CustomerLove,656068,No,Social Media,October,2023,Q4,Sunday,True,False,3.7,1288.4,South-East
T1051,2024-01-23,Benin,BE003,Online,P1570,Groceries,Rice,Nestle,52332.07928822274,63021.70713754174,3,189065.12141262525,156996.23786466822,32068.883547957026,1,Transfer,14:20:41,C1201,Aisha Adeniyi,F,42.0,Single,Doctor,High,Regular,100.0,162,45,TechWorld Nigeria,7,Flash Sale,MegaSaver,742895,No,Radio,January,2024,Q1,Tuesday,True,False,4.5,1309.26,South-South
T1052,2024-08-23,Ibadan,IB004,Online,P9047,Sports,Basketball,Nike,27499.105965342496,35440.42446092646,22,779689.3381403821,604980.3312375349,174709.0069028472,1,Transfer,21:10:45,C2109,Sarah Okafor,F,29.0,Married,Engineer,High,Regular,82.0,109,80,FashionBase Ltd,30,Flash Sale,FestiveBonanza,410743,Yes,Billboard,August,2024,Q3,Friday,False,True,3.7,5999.76,South-West
T1053,2023-11-12,Kano,KA002,In-store,P2412,Fashion,Trousers,Nike,89880.18894048105,114223.84395996832,10,1142238.4395996833,898801.8894048105,243436.55019487278,1,POS,20:08:27,C5167,David Aliyu,F,44.0,Single,Doctor,Medium,Occasional,44.0,277,33,TechWorld Nigeria,30,Flash Sale,NaijaDeals,372655,Yes,SMS,November,2023,Q4,Sunday,True,False,4.9,7016.280000000001,North-West
T1054,2023-01-14,Kano,KA009,Online,P4216,Fashion,Jacket,Nike,66556.77850264388,88764.87562448054,16,1420238.0099916887,1064908.456042302,355329.5539493866,0,Cash,9:02:41,C4596,Sarah Ibrahim,M,50.0,Single,Doctor,Low,Occasional,79.0,155,71,MegaMart Supply,30,None,CustomerLove,870030,Yes,Email,January,2023,Q1,Saturday,False,False,4.0,16850.53,North-West
T1055,2023-08-30,Benin,BE003,In-store,P1981,Sports,Football,Adidas,74646.69976172496,96211.75165334254,14,1346964.5231467956,1045053.7966641494,301910.7264826462,1,Transfer,16:35:06,C7302,David Aliyu,F,31.0,Married,Doctor,Medium,Occasional,60.0,183,45,FoodPro Distributors,7,Loyalty Offer,MegaSaver,459961,Yes,Social Media,August,2023,Q3,Wednesday,True,False,4.9,13117.779999999999,South-South
T1056,2023-12-12,Benin,BE010,In-store,P6364,Toys,Puzzle,Hasbro,45117.54363081972,52936.37988776728,16,846982.0782042765,721880.6980931155,125101.38011116104,1,POS,17:22:03,C5223,Aisha Olu,F,50.0,Married,Designer,Medium,Regular,41.0,45,48,FoodPro Distributors,30,None,NaijaDeals,762761,Yes,Social Media,December,2023,Q4,Tuesday,False,True,4.8,1861.5,South-South
T1057,2024-07-18,Ibadan,IB007,Online,P1741,Fashion,Shirt,Adidas,74365.26242377837,99828.21472823729,24,2395877.153477695,1784766.298170681,611110.8553070137,0,POS,9:25:23,C938,Grace James,F,53.0,Married,Engineer,Medium,Occasional,68.0,193,65,FashionBase Ltd,7,Flash Sale,CustomerLove,733853,No,Radio,July,2024,Q3,Thursday,True,True,3.1,15970.599999999999,South-West
T1058,2023-12-06,Ibadan,IB010,Online,P3440,Fashion,Shirt,Puma,101773.90125750237,144259.47666246747,23,3317967.963236752,2340799.7289225543,977168.2343141977,1,Online,21:01:23,C8546,Sarah Adeniyi,F,28.0,Married,Banker,High,Regular,72.0,189,73,TechWorld Nigeria,14,Loyalty Offer,WeekendRush,921466,Yes,Radio,December,2023,Q4,Wednesday,False,False,4.9,18636.72,South-West
T1059,2023-04-02,Benin,BE003,In-store,P8871,Toys,Toy Car,Disney,11105.28437138245,14445.68843115913,7,101119.8190181139,77736.99059967714,23382.828418436766,1,Online,21:54:47,C8689,Grace Eze,M,33.0,Single,Engineer,Low,VIP,68.0,51,75,MegaMart Supply,30,Flash Sale,CustomerLove,540839,No,Radio,April,2023,Q2,Sunday,False,False,4.9,2234.4,South-South
T1060,2024-01-02,Enugu,EN010,Online,P5331,Toys,Doll,Hasbro,86759.75583536347,109999.36255560452,10,1099993.6255560452,867597.5583536347,232396.06720241054,1,Transfer,16:59:59,C8032,Aisha James,F,53.0,Married,Trader,Medium,Regular,85.0,160,48,TechWorld Nigeria,30,None,MegaSaver,561899,Yes,SMS,January,2024,Q1,Tuesday,True,False,4.9,3184.6099999999997,South-East
T1061,2024-03-30,Lagos,LA004,Online,P4505,Fashion,Dress,Puma,94699.71159574589,128738.79572914387,2,257477.59145828773,189399.42319149178,68078.16826679595,0,Online,13:45:30,C8924,John Ibrahim,M,24.0,Single,Trader,Low,Occasional,97.0,71,73,MegaMart Supply,7,Flash Sale,MegaSaver,884607,No,Email,March,2024,Q1,Saturday,True,False,4.008321775312067,1343.06,South-West
T1062,2024-03-03,Ibadan,IB001,In-store,P9767,Electronics,Laptop,Sony,586223.1522753593,735535.5282745243,24,17652852.678588584,14069355.654608622,3583497.023979962,0,Transfer,12:29:41,C2968,David Olu,M,43.0,Married,Doctor,High,Regular,96.0,298,63,FoodPro Distributors,7,None,NaijaDeals,402177,Yes,SMS,March,2024,Q1,Sunday,True,False,4.3,1288.4,South-West
T1063,2024-05-23,Ibadan,IB003,Online,P4164,Groceries,Flour,Golden Penny,43021.32741309844,52941.233788641475,16,847059.7406182636,688341.2386095751,158718.50200868852,1,Online,20:17:21,C6743,David Adeniyi,M,43.0,Single,Doctor,Low,Regular,60.0,174,67,GameHub Africa,7,Loyalty Offer,WeekendRush,577017,Yes,Social Media,May,2024,Q2,Thursday,True,False,3.6,10770.76,South-West
T1064,2023-02-04,Enugu,EN006,In-store,P5833,Toys,Action Figure,Disney,15168.135596808123,19458.472668970437,7,136209.30868279305,106176.94917765686,30032.35950513619,1,Cash,16:28:33,C3718,Aisha Olu,F,27.0,Married,Student,Medium,Occasional,75.0,205,34,GameHub Africa,7,Discount,CustomerLove,730041,Yes,Radio,February,2023,Q1,Saturday,True,True,3.7,8352.61,South-East
T1065,2023-07-25,Kano,KA009,Online,P2489,Sports,Football,Adidas,95184.74034754733,114231.00597581832,1,114231.00597581832,95184.74034754733,19046.265628270994,1,Transfer,21:00:47,C7398,Victor Aliyu,M,50.0,Married,Designer,High,VIP,75.0,131,67,TechWorld Nigeria,7,None,NaijaDeals,934406,Yes,Radio,July,2023,Q3,Tuesday,True,True,5.0,633.74,North-West
T1066,2023-03-22,Enugu,EN007,In-store,P3218,Electronics,Refrigerator,LG,448363.06027734553,573330.8239428822,17,9746624.007028999,7622172.024714874,2124451.9823141247,1,POS,19:14:53,C6235,David Aliyu,F,42.0,Single,Lawyer,Low,Occasional,95.0,21,78,TechWorld Nigeria,14,None,WeekendRush,954024,No,Radio,March,2023,Q1,Wednesday,False,True,3.5,6421.86,South-East
T1067,2024-07-15,Port Harcourt,PO007,In-store,P1527,Groceries,Flour,Dangote,31148.682831780796,37785.52522625156,2,75571.05045250311,62297.36566356159,13273.684788941522,1,Online,11:34:13,C356,Aisha James,M,24.0,Single,Designer,High,Occasional,85.0,48,38,GameHub Africa,14,Flash Sale,WeekendRush,804095,No,Radio,July,2024,Q3,Monday,False,True,3.6,1780.68,South-South
